 id | person | bibtex | orcid | label | type 
----+--------+--------+-------+-------+------
(0 rows)

 id | person | bibtex | orcid | label | type 
----+--------+--------+-------+-------+------
(0 rows)

CREATE INDEX
   id    |                person                | bibtex |        orcid        | label | type 
---------+--------------------------------------+--------+---------------------+-------+------
   63443 | John K. Brown                        |        |                     |       | 
   63539 | John Kalamatianos                    |        |                     |       | 
   63603 | John Lakos                           |        |                     |       | 
   63887 | John Leo                             |        |                     |       | 
   63918 | John J. Allan III                    |        |                     |       | 
   63981 | John C. Eidson                       |        |                     |       | 
   64000 | John V. Oldfield                     |        |                     |       | 
   64119 | John P. Gray                         |        |                     |       | 
   64120 | John Hunter                          |        |                     |       | 
   64180 | John Sawaya                          |        |                     |       | 
   64316 | John Willis                          |        |                     |       | 
   64463 | John Rose                            |        |                     |       | 
   64497 | Johnson Chan Limqueco                |        |                     |       | 
   64619 | John J. Zasio                        |        |                     |       | 
   64641 | John Byler                           |        |                     |       | 
   64850 | John Keane 0001                      |        |                     |       | 
   64938 | John Epperheimer                     |        |                     |       | 
   65130 | Johnny berg                          |        |                     |       | 
   65263 | John A. Dallen                       |        |                     |       | 
   65265 | John Poulton                         |        |                     |       | 
   65287 | John M. Cohn                         |        |                     |       | 
   65414 | Johnny John                          |        |                     |       | 
   65418 | John M. Robison                      |        |                     |       | 
   65535 | John Welsh                           |        |                     |       | 
   65544 | John Magnus Morton                   |        |                     |       | 
   65574 | John MacDonald                       |        |                     |       | 
   65748 | John W. Hagerman                     |        |                     |       | 
   65897 | John Tresek                          |        |                     |       | 
   65908 | John L. Ellis                        |        |                     |       | 
   66255 | John A. Thodiyil                     |        |                     |       | 
   66259 | John Y. Lee                          |        |                     |       | 
   66429 | John A. McLean                       |        |                     |       | 
   66680 | John Kessenich                       |        |                     |       | 
   66701 | John Wood                            |        |                     |       | 
   67075 | John M. Jeglic                       |        |                     |       | 
   67116 | John Wright                          |        |                     |       | 
   67385 | John J. Granacki                     |        |                     |       | 
   67453 | John Sackett                         |        |                     |       | 
   67455 | John P. Stevenson                    |        |                     |       | 
   67528 | John E. Goldberg                     |        |                     |       | 
   67539 | John Rychcik                         |        |                     |       | 
   67543 | John H. Fountain                     |        |                     |       | 
   67652 | John E. Renaud                       |        |                     |       | 
   67686 | John F. D`Ambrosia                   |        |                     |       | 
   67689 | John T. Stonick                      |        |                     |       | 
   67749 | John Hardin                          |        |                     |       | 
   68046 | John F. Pellegrin                    |        |                     |       | 
   68053 | John D. Davis                        |        |                     |       | 
   68108 | John Lowell                          |        |                     |       | 
   68151 | John M. Hemphill                     |        |                     |       | 
   68501 | John W. Lockwood                     |        |                     |       | 
   68550 | John A. Pierro                       |        |                     |       | 
   68733 | John McDermott                       |        |                     |       | 
   68736 | John Paul Shen                       |        |                     |       | 
   68854 | John Frediani                        |        |                     |       | 
   68912 | John L. Barron                       |        |                     |       | 
   69076 | John Monahan                         |        |                     |       | 
   69243 | John E. Rieber                       |        |                     |       | 
   69523 | John A. Gubner                       |        |                     |       | 
   69937 | John F. MacDonald                    |        |                     |       | 
   69959 | John Wei                             |        |                     |       | 
   70019 | John D. Gabbe                        |        |                     |       | 
   70218 | John Sanguinetti                     |        |                     |       | 
   70336 | John D. Leidel                       |        |                     |       | 
   70426 | John Messerly                        |        |                     |       | 
   70470 | John F. Croix                        |        |                     |       | 
   70617 | John Colton                          |        |                     |       | 
   70685 | John L. Fike                         |        |                     |       | 
   70749 | John Brunhaver                       |        |                     |       | 
   70809 | John Alan Roach                      |        |                     |       | 
   70810 | John D. Litke                        |        |                     |       | 
   71042 | John H. Blank                        |        |                     |       | 
   71146 | John D. Provence                     |        |                     |       | 
   71323 | John A. Ludwig                       |        |                     |       | 
   71527 | John Kubiatowicz                     |        |                     |       | 
   71728 | John Marshall                        |        |                     |       | 
   71756 | John A. Board Jr.                    |        |                     |       | 
   71759 | John C. Potter                       |        |                     |       | 
   71829 | John J. Granacki Jr.                 |        |                     |       | 
   71916 | John Carson                          |        |                     |       | 
   71944 | John H. Kelm                         |        |                     |       | 
   72225 | John Schumann                        |        |                     |       | 
   72284 | John Ivie                            |        |                     |       | 
   72664 | John J. McManus                      |        |                     |       | 
   72918 | John P. Kerekes                      |        | 0000-0002-0754-8170 |       | 
   73218 | John L. Carlsten                     |        |                     |       | 
   73227 | John J. Remedios                     |        |                     |       | 
   73484 | John R. Miller 0001                  |        |                     |       | 
   73613 | John Paden                           |        |                     |       | 
   73789 | John Ian MacPherson                  |        |                     |       | 
