 id |     person     | bibtex | orcid | label | type | relation_id |  role  | person_id |        publication_id         |              key              |     type      |   mdate    |   publtype   | reviewid | rating | cdate | address |             booktitle              |     pages     | year |                       journal                       |     volume     | number | month |                          url                          |                                            ee                                            | school | publisher | note | cdrom |       crossref        | isbn | chapter | publnr 
  5 | Kazuhiro Fukui |        |       |       |      |    24723020 | author |         5 | journals/corr/abs-2303-17802  | journals/corr/abs-2303-17802  | article       | 2023-04-17 | informal     |          |        |       |         |                                    |               | 2023 | CoRR                                                | abs/2303.17802 |        |       | db/journals/corr/corr2303.html#abs-2303-17802         | https://doi.org/10.48550/arXiv.2303.17802                                                |        |           |      |       |                       |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |    25184205 | author |         5 | journals/corr/abs-1903-06549  | journals/corr/abs-1903-06549  | article       | 2019-04-01 | informal     |          |        |       |         |                                    |               | 2019 | CoRR                                                | abs/1903.06549 |        |       | db/journals/corr/corr1903.html#abs-1903-06549         | http://arxiv.org/abs/1903.06549                                                          |        |           |      |       |                       |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |      828630 | author |         5 | conf/wacv/UchiyamaSNF23       | conf/wacv/UchiyamaSNF23       | inproceedings | 2023-02-14 |              |          |        |       |         | WACV                               | 1513-1522     | 2023 |                                                     |                |        |       | db/conf/wacv/wacv2023.html#UchiyamaSNF23              | https://doi.org/10.1109/WACV56688.2023.00156                                             |        |           |      |       | conf/wacv/2023        |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     1100307 | author |         5 | conf/ijcnn/KitamuraAF09       | conf/ijcnn/KitamuraAF09       | inproceedings | 2023-03-24 |              |          |        |       |         | IJCNN                              | 1640-1646     | 2009 |                                                     |                |        |       | db/conf/ijcnn/ijcnn2009.html#KitamuraAF09             | https://doi.ieeecomputersociety.org/10.1109/IJCNN.2009.5178763                           |        |           |      |       | conf/ijcnn/2009       |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     1101150 | author |         5 | conf/ijcnn/ShimomotoSGF18     | conf/ijcnn/ShimomotoSGF18     | inproceedings | 2022-01-03 |              |          |        |       |         | IJCNN                              | 1-8           | 2018 |                                                     |                |        |       | db/conf/ijcnn/ijcnn2018.html#ShimomotoSGF18           | https://doi.org/10.1109/IJCNN.2018.8489458                                               |        |           |      |       | conf/ijcnn/2018       |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     1775696 | author |         5 | conf/icra/ChngSPCF20          | conf/icra/ChngSPCF20          | inproceedings | 2020-09-28 |              |          |        |       |         | ICRA                               | 9680-9686     | 2020 |                                                     |                |        |       | db/conf/icra/icra2020.html#ChngSPCF20                 | https://doi.org/10.1109/ICRA40945.2020.9196902                                           |        |           |      |       | conf/icra/2020        |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     4428037 | author |         5 | conf/icassp/SouzaGF18         | conf/icassp/SouzaGF18         | inproceedings | 2022-01-03 |              |          |        |       |         | ICASSP                             | 256-260       | 2018 |                                                     |                |        |       | db/conf/icassp/icassp2018.html#SouzaGF18              | https://doi.org/10.1109/ICASSP.2018.8461610                                              |        |           |      |       | conf/icassp/2018      |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     6246264 | author |         5 | conf/icpr/BelezaF20           | conf/icpr/BelezaF20           | inproceedings | 2023-09-30 |              |          |        |       |         | ICPR Workshops (3)                 | 702-716       | 2020 |                                                     |                |        |       | db/conf/icpr/icpr2020w3.html#BelezaF20                | https://doi.org/10.1007/978-3-030-68796-0_51                                             |        |           |      |       | conf/icpr/2020w3      |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     6249873 | author |         5 | conf/icpr/SuryantoJF12        | conf/icpr/SuryantoJF12        | inproceedings | 2021-08-10 |              |          |        |       |         | ICPR                               | 3447-3451     | 2012 |                                                     |                |        |       | db/conf/icpr/icpr2012.html#SuryantoJF12               | https://ieeexplore.ieee.org/document/6460906/                                            |        |           |      |       | conf/icpr/2012        |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     6255243 | author |         5 | conf/icpr/PerisMMOF12         | conf/icpr/PerisMMOF12         | inproceedings | 2021-08-10 |              |          |        |       |         | ICPR                               | 1038-1042     | 2012 |                                                     |                |        |       | db/conf/icpr/icpr2012.html#PerisMMOF12                | https://ieeexplore.ieee.org/document/6460313/                                            |        |           |      |       | conf/icpr/2012        |      |         | 
  5 | Kazuhiro Fukui |        |       |       |      |     6344168 | author |         5 | conf/isba/TanakaOKHF16        | conf/isba/TanakaOKHF16        | inproceedings | 2018-11-02 |              |          |        |       |         | ISBA                               | 1-7           | 2016 |                                                     |                |        |       | db/conf/isba/isba2016.html#TanakaOKHF16               | https://doi.org/10.1109/ISBA.2016.7477238                                                |        |           |      |       | conf/isba/2016        |      |         | 
